code,year_,freq,ITEM1201,ITEM6008
6481,2010,A,,DK0060534915
6481,2011,A,,DK0060534915
6481,2012,A,,DK0060534915
6481,2013,A,,DK0060534915
6481,2014,A,,DK0060534915
6481,2015,A,,DK0060534915
6481,2016,A,,DK0060534915
6481,2017,A,,DK0060534915
6481,2018,A,,DK0060534915
6481,2019,A,,DK0060534915
6482,2010,A,9142000000,DK0060534915
6482,2011,A,8995000000,DK0060534915
6482,2012,A,10434000000,DK0060534915
6482,2013,A,11267000000,DK0060534915
6482,2014,A,12846000000,DK0060534915
6482,2015,A,12936000000,DK0060534915
6482,2016,A,13643000000,DK0060534915
6482,2017,A,13278000000,DK0060534915
6482,2018,A,13568000000,DK0060534915
6482,2019,A,13477000000,DK0060534915
6482,2020,A,,DK0060534915
7598,2010,A,4390000000,FR0000120578
7598,2011,A,4795000000,FR0000120578
7598,2012,A,4909000000,FR0000120578
7598,2013,A,4757000000,FR0000120578
7598,2014,A,4812000000,FR0000120578
7598,2015,A,5069000000,FR0000120578
7598,2016,A,5156000000,FR0000120578
7598,2017,A,5450000000,FR0000120578
7598,2018,A,5890000000,FR0000120578
7598,2019,A,6015000000,FR0000120578
7598,2020,A,,FR0000120578
23801,2010,A,,CH0012005267
23801,2011,A,,CH0012005267
23801,2012,A,,CH0012005267
23801,2013,A,,CH0012005267
23801,2014,A,,CH0012005267
23801,2015,A,,CH0012005267
23801,2016,A,,CH0012005267
23801,2017,A,,CH0012005267
23801,2018,A,,CH0012005267
23801,2019,A,,CH0012005267
23802,2010,A,8407886400,CH0012005267
23802,2011,A,8118586470,CH0012005267
23802,2012,A,8503313640,CH0012005267
23802,2013,A,9102656880,CH0012005267
23802,2014,A,8003158800,CH0012005267
23802,2015,A,8424917460,CH0012005267
23802,2016,A,8306889360,CH0012005267
23802,2017,A,8150647110,CH0012005267
23802,2018,A,8480555710,CH0012005267
23802,2019,A,8328807480,CH0012005267
23802,2020,A,,CH0012005267
23823,2010,A,,CH0012032048
23823,2011,A,,CH0012032048
23823,2012,A,,CH0012032048
23823,2013,A,,CH0012032048
23823,2014,A,,CH0012032048
23823,2015,A,,CH0012032048
23823,2016,A,,CH0012032048
23823,2017,A,,CH0012032048
23823,2018,A,,CH0012032048
23823,2019,A,,CH0012032048
23824,2010,A,8979000000,CH0012032048
23824,2011,A,8002000000,CH0012032048
23824,2012,A,8475000000,CH0012032048
23824,2013,A,8700000000,CH0012032048
23824,2014,A,8917000000,CH0012032048
23824,2015,A,9331000000,CH0012032048
23824,2016,A,9904000000,CH0012032048
23824,2017,A,10391000000,CH0012032048
23824,2018,A,11048000000,CH0012032048
23824,2019,A,11690000000,CH0012032048
23824,2020,A,,CH0012032048
28277,2010,A,2582028120,GB0009895292
28277,2011,A,2800343820,GB0009895292
28277,2012,A,2662711850,GB0009895292
28277,2013,A,2724902700,GB0009895292
28277,2014,A,3002003370,GB0009895292
28277,2015,A,3674279310,GB0009895292
28277,2016,A,4212826560,GB0009895292
28277,2017,A,4156686600,GB0009895292
28277,2018,A,3957925600,GB0009895292
28277,2019,A,4159016400,GB0009895292
28277,2020,A,,GB0009895292
29694,2010,A,2894000000,US0311621009
29694,2011,A,3167000000,US0311621009
29694,2012,A,3380000000,US0311621009
29694,2013,A,4083000000,US0311621009
29694,2014,A,4297000000,US0311621009
29694,2015,A,4070000000,US0311621009
29694,2016,A,3840000000,US0311621009
29694,2017,A,3562000000,US0311621009
29694,2018,A,3737000000,US0311621009
29694,2019,A,4116000000,US0311621009
29694,2020,A,,US0311621009
30910,2010,A,3424000000,US1101221083
30910,2011,A,3604000000,US1101221083
30910,2012,A,3762000000,US1101221083
30910,2013,A,3731000000,US1101221083
30910,2014,A,3913000000,US1101221083
30910,2015,A,5760000000,US1101221083
30910,2016,A,4927000000,US1101221083
30910,2017,A,4823000000,US1101221083
30910,2018,A,5052000000,US1101221083
30910,2019,A,5845000000,US1101221083
30910,2020,A,,US1101221083
36423,2010,A,6906000000,US4781601046
36423,2011,A,7526000000,US4781601046
36423,2012,A,7665000000,US4781601046
36423,2013,A,8187000000,US4781601046
36423,2014,A,8494000000,US4781601046
36423,2015,A,9047000000,US4781601046
36423,2016,A,9095000000,US4781601046
36423,2017,A,10559000000,US4781601046
36423,2018,A,10775000000,US4781601046
36423,2019,A,11355000000,US4781601046
36423,2020,A,,US4781601046
36981,2010,A,4884200000,US5324571083
36981,2011,A,5020800000,US5324571083
36981,2012,A,5278100000,US5324571083
36981,2013,A,5531300000,US5324571083
36981,2014,A,4733600000,US5324571083
36981,2015,A,4796400000,US5324571083
36981,2016,A,5243900000,US5324571083
36981,2017,A,5281800000,US5324571083
36981,2018,A,5307100000,US5324571083
36981,2019,A,5595000000,US5324571083
36981,2020,A,,US5324571083
39418,2010,A,9379000000,US7170811035
39418,2011,A,8433000000,US7170811035
39418,2012,A,7342000000,US7170811035
39418,2013,A,6678000000,US7170811035
39418,2014,A,8393000000,US7170811035
39418,2015,A,7690000000,US7170811035
39418,2016,A,7872000000,US7170811035
39418,2017,A,7657000000,US7170811035
39418,2018,A,8006000000,US7170811035
39418,2019,A,7984000000,US7170811035
39418,2020,A,,US7170811035
102605,2010,A,8113000000,US58933Y1055
102605,2011,A,7742000000,US58933Y1055
102605,2012,A,7911000000,US58933Y1055
102605,2013,A,7123000000,US58933Y1055
102605,2014,A,6447000000,US58933Y1055
102605,2015,A,6565000000,US58933Y1055
102605,2016,A,6382000000,US58933Y1055
102605,2017,A,9714000000,US58933Y1055
102605,2018,A,9598000000,US58933Y1055
102605,2019,A,9696000000,US58933Y1055
102605,2020,A,,US58933Y1055
119425,2010,A,2368598000,US00287Y1091
119425,2011,A,2548506000,US00287Y1091
119425,2012,A,2609000000,US00287Y1091
119425,2013,A,2840000000,US00287Y1091
119425,2014,A,3297000000,US00287Y1091
119425,2015,A,4101000000,US00287Y1091
119425,2016,A,4366000000,US00287Y1091
119425,2017,A,4982000000,US00287Y1091
119425,2018,A,5229000000,US00287Y1091
119425,2019,A,5407000000,US00287Y1091
119425,2020,A,,US00287Y1091
